variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Final Energy|Industry|Non-Ferrous Metals|Copper;EJ/yr;3;Final energy consumption by the copper;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Electricity;EJ/yr;3;Final energy consumption by the copper of electricity;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Gases;EJ/yr;3;Final energy consumption by the copper of gaseous fuels including natural gas and biogas, not including hydrogen;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Gases|Biomass;EJ/yr;4;Final energy consumption by the copper of gaseous fuels from biogenic sources, mainly biogas;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Gases|Coal;EJ/yr;4;Final energy consumption by the copper of gaseous fuels from fossil coal gasification;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Gases|Electricity;EJ/yr;4;Final energy consumption by the copper of gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product);;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Gases|Fossil;EJ/yr;4;Final energy consumption by the copper of gaseous fuels from fossil fuels including natural gas and coal;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Gases|Gas;EJ/yr;4;Final energy consumption by the copper of fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Gases|Hydrogen;EJ/yr;4;Final energy consumption by the copper of gaseous fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Gases|Other;EJ/yr;4;Final energy consumption by the copper of gaseous fuels from sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat;EJ/yr;3;Final energy consumption by the copper of centralized heat;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Biomass;EJ/yr;4;Final energy consumption by the copper of centralized heat from biomass, including biogas;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Coal;EJ/yr;4;Final energy consumption by the copper of centralized heat from coal;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Electricity;EJ/yr;4;Final energy consumption by the copper of centralized heat from electricity;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Fossil;EJ/yr;4;Final energy consumption by the copper of centralized heat from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Gas;EJ/yr;4;Final energy consumption by the copper of centralized heat from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Geothermal;EJ/yr;4;Final energy consumption by the copper of centralized heat from geothermal energy excluding ground-source heat pumps;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Hydrogen;EJ/yr;4;Final energy consumption by the copper of centralized heat from hydrogen;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Nuclear;EJ/yr;4;Final energy consumption by the copper of centralized heat from nuclear energy;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Oil;EJ/yr;4;Final energy consumption by the copper of centralized heat from refined crude oil;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Other;EJ/yr;4;Final energy consumption by the copper of centralized heat from sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Heat|Solar;EJ/yr;4;Final energy consumption by the copper of centralized heat from solar energy;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen;EJ/yr;3;Final energy consumption by the copper of hydrogen;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen|Biomass;EJ/yr;4;Final energy consumption by the copper of hydrogen generated from biomass;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen|Coal;EJ/yr;4;Final energy consumption by the copper of hydrogen from coal;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen|Electricity;EJ/yr;4;Final energy consumption by the copper of hydrogen from electrolysis;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen|Fossil;EJ/yr;4;Final energy consumption by the copper of hydrogen from fossil fuels including natural gas, oil and coal;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen|Gas;EJ/yr;4;Final energy consumption by the copper of hydrogen from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen|Nuclear;EJ/yr;4;Final energy consumption by the copper of hydrogen from nuclear energy (e.g. thermochemical water splitting with nuclear heat);;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen|Oil;EJ/yr;4;Final energy consumption by the copper of hydrogen from refined crude oil;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen|Other;EJ/yr;4;Final energy consumption by the copper of hydrogen from other sources;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Hydrogen|Solar;EJ/yr;4;Final energy consumption by the copper of hydrogen from solar energy (e.g. thermochemical water splitting with solar heat);;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Liquids;EJ/yr;3;Final energy consumption by the copper of refined liquid fuels including oil products, fuels from gas and coal, synthetic fuels and biofuels;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Liquids|Biomass;EJ/yr;4;Final energy consumption by the copper of liquid fuels from biomass;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Liquids|Coal;EJ/yr;4;Final energy consumption by the copper of liquid fuels from coal;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Liquids|Electricity;EJ/yr;4;Final energy consumption by the copper of liquid synthetic fuels from electricity, i.e., e-fuels (if hydrogen is not explicitly modeled as an intermediate product);;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Liquids|Fossil;EJ/yr;4;Final energy consumption by the copper of liquid fuels from fossil fuels including coal, natural gas and conventional/unconventional oil;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Liquids|Gas;EJ/yr;4;Final energy consumption by the copper of liquid fuels from fossil methane ('natural gas');;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Liquids|Hydrogen;EJ/yr;4;Final energy consumption by the copper of liquid fuels from hydrogen (if hydrogen is explicitly modeled as a commodity and not an implicit intermediate product of the transformation technologies);;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Liquids|Oil;EJ/yr;4;Final energy consumption by the copper of liquid fuels from refined crude oil;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Liquids|Other;EJ/yr;4;Final energy consumption by the copper of sources that do not fit any other category;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Other;EJ/yr;4;Final energy consumption by the copper of other energy sources;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Solids;EJ/yr;3;Final energy consumption by the copper of solid energy carriers, including coal, briquettes, coke, and wood pellets;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Solids|Biomass;EJ/yr;4;Final energy consumption by the copper of solid biomass (e.g., commercial charcoal, wood chips, wood pellets), not including traditional bioenergy;;;;;;;;
Final Energy|Industry|Non-Ferrous Metals|Copper|Solids|Coal;EJ/yr;4;Final energy consumption by the copper of coal, lignite, and derived products (e.g., coke, briquettes);;;;;;;;
Material Demand|Chemicals|Ammonia;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers;;;;;;;;
Material Demand|Chemicals|Ammonia|Commercial;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in commercial sector;;;;;;;;
Material Demand|Chemicals|Ammonia|Electricity;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in electricity generation sector;;;;;;;;
Material Demand|Chemicals|Ammonia|Electricity|Biomass;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|Ammonia|Electricity|Coal;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|Ammonia|Electricity|Gas;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|Ammonia|Electricity|Hydro;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|Ammonia|Electricity|Nuclear;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|Ammonia|Electricity|Solar;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|Ammonia|Electricity|Transmission and Distribution;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|Ammonia|Electricity|Wind;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|Ammonia|Residential;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in residential sector;;;;;;;;
Material Demand|Chemicals|Ammonia|Transportation|Infrastructure;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|Ammonia|Transportation|Vehicle Stock;Mt/yr;2;Demand of ammonia (NH3), precursor chemical for nitrogen fertilisers in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|Formaldehyde;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Commercial;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in commercial sector;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Electricity;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in electricity generation sector;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Electricity|Biomass;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Electricity|Coal;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Electricity|Gas;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Electricity|Hydro;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Electricity|Nuclear;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Electricity|Solar;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Electricity|Transmission and Distribution;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Electricity|Wind;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Residential;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in residential sector;;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Transportation|Infrastructure;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|Formaldehyde Resins|Transportation|Vehicle Stock;Mt/yr;4;Demand of thermosetting resins, produced by polymerizing urea, phenol and/or melamine with formaldehyde in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|Formaldehyde|Commercial;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in commercial sector;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Electricity;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in electricity generation sector;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Electricity|Biomass;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Electricity|Coal;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Electricity|Gas;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Electricity|Hydro;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Electricity|Nuclear;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Electricity|Solar;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Electricity|Transmission and Distribution;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Electricity|Wind;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Residential;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in residential sector;;;;;;;;
Material Demand|Chemicals|Formaldehyde|Transportation|Infrastructure;Mt/yr;4;Demand of formaldehyde, mainly used to produce resins in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
